Name,Type,Website,Location,City,Hours,Comments,How to Help This Business,Dine-In,Outdoor Dining,Outdoor Recreation,Outdoor Retail,Outdoor Services,Gift Cards,Delivery,Take-Out,Order Online,NoCoNosh,DoorDash,GrubHub,Postmates,Bottles,Cans,Crowlers,Growlers,Product Options,Availability,meta_row_index,meta_row_id,GPS Location
Mishawaka Restaurant,Restaurant/Bar,http://www.themishawaka.com,13714 POUDRE CANYON HIGHWAY,Bellvue,10am-8pm,Curbside - 970-482-4420 to call ahead,,,,,,,true,,true,,,,,,,,,,Gift Cards,Take-Out,269,48cedbb5c519f78cac63e12e64dfc3803dcfef02,POINT (-105.366028 40.687219)
Nori Maki Bar,Restaurant/Bar,https://www.norimakibar.com/,2842 Council Tree Ave,Fort Collins,mon-sun 3pm - 9pm,(970) 930-6254 - call to verify hours,,,,,,,true,true,true,,,true,,,,,,,Gift Cards,"Delivery, DoorDash, Take-Out",289,b2ef35b72355407f715586812bb12737ca53c6c4,POINT (-105.024194 40.525462)
Pinocchios Incredible Italian,,,,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,317,8b5d388b4d2ad87a52a30e2e86e43bdd4f9660e3,POINT (-105.082459 40.588972)
Pendleton,,,107 SOUTH COLLEGE AVENUE,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,313,f1c89f56f1455a22b7d205b62e5a4216f45cc405,POINT (-105.07707100000002 40.586635)
RamZone,,,1101 Center Avenue Mall,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,342,6959ce62667ca44cc2b6d1594fa40f2baa9716b5,POINT (-105.083675 40.572255)
Simply Thai,Restaurant/Bar,http://www.simplythaifc.com,2531 S Shields St #2m,Fort Collins,Possibly reopened?,Thai / Asian,,,,,,,,true,true,,,,true,,,,,,,"Delivery, GrubHub, Take-Out",373,5bc9cf24a4a4a720f330ae69c30bae23c59c1b5f,POINT (-105.096117 40.553838)
Saigon Grill III,Restaurant/Bar,https://saigongrill3.com/,1120 S College Ave,Fort Collins,Tues-Sun 11am-9pm,(970) 482-5545,,,,,,,,true,true,,true,,true,,,,,,,"Delivery, GrubHub, NoCoNosh, Take-Out",358,0b0d6c5c417c320a53fdf7b01d33d77956b22f78,POINT (-105.076959 40.572445)
Snowbank Brewing,Restaurant/Bar,http://snowbank.beer,"225 N. Lemay Ave., Suite 1",Fort Collins,3-6pm,Monday - Thursday: 2pm - 8pm  Friday - Saturday: 12pm - 9pm  Sunday: 12pm - 8pm,https://www.facebook.com/SnowbankBrewingCO/,,,,,,true,,true,true,,,,,,true,true,,"Cans, Crowlers, Gift Cards","Order Online, Take-Out",380,80b88cf7b49a24d1f6d14c5c21567a844603196c,POINT (-105.057725 40.589925)
Trimble Court Artisans,,,118 Trimble Court,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,441,ba70d359a1807a0e7a38a73db918dace82418289,POINT (-105.076484 40.587741)
Tokyo Joes,Temporarily Closed,http://tokyojoes.com/,100 W Troutman Pkwy,Fort Collins,CLOSED TEMPORARILY,,,,,,,,,,,,,,,,,,,,,,435,f96781ba0fa34a64e8c1f27049414d392399fc4a,POINT (-105.0776 40.528658)
Uptown Liqours,Liquor Store,https://www.facebook.com/Uptownliq/,1833 E Harmony Rd,Fort Collins,9am-11pm,Drizly or call (970) 204-4121,,,,,,,,true,true,,,,,,,,,,,"Delivery, Take-Out",450,b73ea36f6ce00d7182c093f2f47d6d49ab8f73c5,POINT (-105.043082 40.52335)
Whole Foods,Restaurant/Bar,,,Fort Collins,,Contact us at 970-267-9200. We have special hours for at-risk populations and are partnering with Amazon to expand delivery and pickup.,,,,,,,,true,true,,,,,,,,,,,"Delivery, Take-Out",469,05c0ec251164429d1d697dd335a3a69dee2bfebc,POINT (-105.082459 40.588972)
Senior Helpers,"Family, Community & Non-Profit",https://www.seniorhelpers.com/co/fort-collins/contact,2201 S. Lemay Ave,Fort Collins,24/7,"Contact us at 970-658-8228. Continues to provide in-home care, primarily for older adults, wherever they call home. We are fully operational and all of our caregivers are currently healthy.  We are taking all CDC-recommended standard precautions and are in fact still signing up new clients. In addition, we are helping folks with grocery shopping, picking up prescriptions, and with reducing the feeling of isolation in their home during these times.",Referrals to our business for seniors and older adults looking for in-home care as well as their families looking to support their loved ones.,,,,,,,,,true,,,,,,,,,,Order Online,366,f40e4d43778df578dd4c770c88eb9ae333492a9e,POINT (-105.057973 40.557253)
Farmers Insurance - Peter Vlcek Agency,Business & Professional,http://agents.farmers.com/pvlcek,262 E Mountain Ave Ste 100,Fort Collins,8AM-5PM M-F,,How to help this business:,,,,,,,,,,,,,,,,,,,,138,ca47f2bfcd0f581cd1f7a578bcef9f5993b98b9e,POINT (-105.074753 40.587105)
Yampa Sandwich Company,Restaurant/Bar,,140 N College Ave,Fort Collins,,"Contact us at 970-482-6913. Adjusted hours 7 am - 5 pm Open for Dine in, Online Orders, Pick-Up & Curbside Pick-Up, and Delivery",,,,,,,,,,,,,,,,,,,,,480,11e5716708da2208cb6edb173a77c8fccc2cca7f,POINT (-105.076919 40.587835000000005)
Respite Care,"Family, Community, and Non-Profit",,6203 S Lemay Ave,Fort Collins,,"Contact us at 970-207-9435. Respite Care is open! We have a modified schedule and limited child care slots so that we are able to continue to embrace social distancing and safety precautions. Our top priority is the health and safety of our kiddos, families, and staff members. Call 970-207-9435 for more information.",,,,,,,,,,,,,,,,,,,,,348,253c2628cadd8215d1601d5aadee1318cfeaf7bf,POINT (-105.058245 40.500009)
BluSky Restoration,Business & Professional,,"1313 Duff Dr, Ste 1",Fort Collins,,"Contact us at 970-416-0600. Fully operational 24/7/365. As a fully licensed, insured and bonded general contractor, BluSky is capable of handling any type of restoration project precipitated by natural or man-made disasters. We provide emergency response; water damage, storm damage, fire damage, and smoke damage repair and restoration; and mold remediation.",,,,,,,,,,,,,,,,,,,,,37,1b2496d5a2fbed204f9a6403c11e8f2ffd1cdd1d,POINT (-105.05142700000002 40.589873000000004)
RC Events,Business & Professional,,1588 Riverside Ave,Fort Collins,,"Contact us at 303-527-2905 or 970-224-4774. We are now physically here for you in both Showrooms and we have taken all necessary steps to make this a safe re-opening for our clients and our staff. We are fully equipped to continue remote conferencing via phone, email and video as we are certain this will remain a permanent need. Both showrooms will be open Monday-Friday from 9 am-4 pm. Call to make an appointment.",,,,,,,,,,,,,,,,,,,,,334,d746cbc849639d7f16bb6e1d00b1c69e0929fa59,POINT (-105.045638 40.571503)
Luciles Creole Cafe of Fort Collins,Restaurant/Bar,http://www.luciles.com,400 S. Meldrum St.,Fort Collins,8am-2pm Everyday,"Contact us at 970-224-5464. Heated patio dining and To Go orders 7 days a week for dining at our restaurant or for takeout to enjoy at home. Check out the Bloody Mary and Mimosa Kits! We'll be doing things a bit differently. Outdoor seating, six-foot social distancing, extra sanitation measures, digital menus are just a few of the many measures we are putting into place to ensure you and our staff remain safe","1. Order out delicious food! We are happy to bring food, drinks and retail items out to your car!  Just call us. 2. Stop in and purchase retail goodies for the holidays. 3. Rate and like us on social media.",,true,,,,true,,true,,,,,,,,,,Gift Cards,"Outdoor Dining, Take-Out",249,6c832380e5f7f5519340616cbae49d4ac669a020,POINT (-105.082491 40.582668)
Leapin' Lizard Labels,Business & Professional,,"1305 Duff Dr, #2",Fort Collins,,"Contact us at 970-325-6619. Continues to take phone calls, email estimates, take orders, and get them out the door as soon as possible.",,,,,,,,,,,,,,,,,,,,,234,c31b60405d82d725bab1c6d9250664e2747ef40f,POINT (-105.05238 40.590276)
287 Craft Spirits,Liquor Store,http://www.287craftspirits.com/,"5846 S College Ave, Fort Collins, CO 80525",Fort Collins,9am -9pm,Call (970) 377-0557 to place an order for prepared curbside pick up. Limited number of customers allowed inside store. Note: store service is exceptionally well organized right now. (from a customer),,,,,,,true,,true,,,,,,,,,,Gift Cards,Take-Out,0,74c8d9af81960d13217c008c35110d3f7a82dd6a,
Connecting Signs,Business & Professional,,"2643 Midpoint Dr, Ste A",Fort Collins,,Contact us at 970-493-0133. Open and we have COVID-19 prevention posters for any business. Click here for more.,,,,,,,,,,,,,,,,,,,,,88,5d4bd1c4f304fb23bc3cdc5b91db428777cc8717,POINT (-105.028955 40.560194)
Young's Cafe,Restaurant/Bar,http://Youngscafe.com,3307 S.College Ave #114,Fort Collins,11am-9:00pm everyday,"Contact us at 970-223-8000. Young's is now offering dine in service to our customers. We also offer carry out.  To decrease person to person contact, we are also offering a curbside pickup option. Simply place your order ahead of time and then pull into one of our parking spot and we will bring your order out to your car.",How to help this business:,,,,,,true,true,true,,,,,,,,,,Gift Cards,"Delivery, Take-Out",482,3db0fffbfdfaa62b05b70769b0b6524c325aa7e4,POINT (-105.077154 40.542087)
Rocky Mountain Retro,Retail,http://www.rockymountainretrofc.com,19 Old Town Square,Fort Collins,10 am - 7 pm,,"Please consider us first, before going to amazon or the like, when searching for cool sports apparel. Also, please tell a friend about us.",,,,,,true,true,,true,,,,,,,,,Gift Cards,"Delivery, Order Online",353,32d3e7f51f75ca4cb80531f100aa12f15332b2f3,POINT (-105.07568 40.587766)
The Elegant Pear,Retail,http://elegantpear.com/,150 North College Ave,Fort Collins,Tues-Sat: 10AM-4PM,,,,,,,,,,,,,,,,,,,,,,409,b8c89f73e30fa7f6530a332ad4bd289560980b28,POINT (-105.07692 40.588105)
Downtown Ace Hardware,Retail,http://www.acedowntown.com,215 S College Ave,Fort Collins,Monday-Saturday 8-6 Sunday 9-6,,Please do your shopping online with curbside pickup or delivery. Visit us at instagram.com/downtownaceftcollins or facebook www.facebook.com/downtownace/.,,,,,,true,true,,true,,,,,,,,,Gift Cards,"Delivery, Order Online",115,6cca3b701186809ba8b72a326c5d4b140f82d73d,POINT (-105.077078 40.584973)
John Robson Photography,Business & Professional,http://johnrobson.photography/,3809 Rannoch St,Fort Collins,24/7. By appointment,,1. Pre-book photoshoots for 2021 2. Purchase and send gift cards for photoshoots 3. Follow and share Instagram content: @johnrobson.photography,,,,,true,true,,,true,,,,,,,,,Gift Cards,"Order Online, Outdoor Services",217,8cfb01e2d6a548fd7de7c03002260819cef0000f,POINT (-105.006276 40.600459)
Mugs Coffee Lounge,Restaurant/Bar,,261 S. College Ave,Fort Collins,,Contact us at 970-472-6847. Mugs is open for takeout and curbside pickup from 6:30am-5pm. Order online at mugscoffeelounge.com and pick up on our Olive Street patio. We have missed you! Thank you for your support! Our small local business is nothing without you!,,,,,,,,,true,true,,,,,,,,,,"Order Online, Take-Out",276,27cbd7186830339c9ace4c1360f17557794a80ca,POINT (-105.077081 40.584503)
Panhandler's Pizza,Restaurant/Bar,,2721 S College Ave,Fort Collins,,"Contact us at 970-232-9328. Panhandler's is now open for dine-in, following all local guidelines, we have proper social distancing, mask wearing and sanitization procedures in-place for you to enjoy our pizza in-person!! No-Contact Delivery via NoCo NOSH or pick-up your pizza curbside with ChowNow. Not leaving the home for some time? Order in bulk with Goldbelly",,,,,,,,,true,,,,,,,,,,,Take-Out,309,94d82ab33ba920335460245ef153fe72323533ce,POINT (-105.077304 40.550211)
Advance Tank and Construction,Business & Professional,,,Fort Collins,,"Contact us at 970-568-3444. A fully integrated industrial construction company that specializes in the design, fabrication and erection of carbon and stainless steel above ground storage tanks & other plate structures.",,,,,,,,,,,,,,,,,,,,,5,033bb3171285760795c99a98323bc080788c6e65,POINT (-105.082459 40.588972)
El Burrito,Restaurant/Bar,,404 Linden,Fort Collins,11-2:30  4:30 till 7:30 weekdays 11 - 8 weekends,,How to help this business:,,,,,,true,,true,,,,,,,,,,Gift Cards,Take-Out,120,e02bb8ecf7b6f7fe89c05e4093c269022ce0a05a,POINT (-105.072677 40.590342)
Loyalty Liqours,Liquor Store,https://www.loyaltyliquors.com,1630 S Lemay,Fort Collins,9am-11:59pm,Info posted on Facebook page: call (970) 482-5967 for delivery,,,,,,,,true,true,,,,,,,,,,,"Delivery, Take-Out",247,41c1d7b2fa112eaf78be701f8521f198679e5483,POINT (-105.057914 40.565856)
Integrative Acupuncture Clinic,Health & Wellness,,140 W Oak St. #110,Fort Collins,,"Contact us at 970-493-0025. TO ADHERE TO THE SAFER-AT-HOME REGULATIONS  OUR PATIENTS ARE REQUIRED TO: (1) answer health screening questions, (2) incorporate hand washing, (3) wear masks at all times.",,,,,,,,,,,,,,,,,,,,,202,7f6a07b3cb052997b87dd487620e0270892669af,POINT (-105.07814 40.585638)
Beau Jo's Fort Collins,Restaurant/Bar,http://www.beaujos.com/pizza-locations/ft-collins/,205 North College Avenue,Fort Collins,11am-9:30pm,Contact us at 970-498-8898. Indoor dining available. Open for take out and delivery,How to help this business:,,true,,,,,true,true,,,true,true,,,,,,,"Delivery, DoorDash, GrubHub, Outdoor Dining, Take-Out",25,33d71ac8f813b041ff17dde6054694b2c8aced5b,POINT (-105.077056 40.589303)
AlphaGraphics,Business & Professional,,1254 N Denver Ave,Loveland,,"Contact us at 970-223-6316. Open for business and available to assist with quotes, placing orders, marketing requests , etc. We understand your need to effectively communicate safety and disease prevention steps to your staff and customers so our team has developed a number of print and sign assets to assist. To ensure a healthy environment for all, we have a line of signage that encourages these practices around any public or private space. Contact us today for special pricing details. We still offer Free Delivery within Loveland, Greeley, and Fort Collins areas and are now offering curbside pick up.",,,,,,,,,true,,,,,,,,,,,Take-Out,10,075d2f977c389e4d01390eea60360479dcce9e9f,
St. Peter's Fly Shop,,,202 Remington Street,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,386,481e97d4d7e30484e09db49d2efd4943ef09b9eb,POINT (-105.07552100000001 40.585387)
Square Beverage,Liquor Store,https://www.squarebeverage.com/,3500 S. College Avenue Unit 196,Fort Collins,10:00 AM - 8:00 PM,Call (970) 825-7190 ahead of time to pay over the phone and receive curbside service.,,,,,,,,true,true,,,,,,,,,,,"Delivery, Take-Out",385,fc9363c353c51eb49a6db9590dfa2266ad7cc604,POINT (-105.076986 40.539367)
CarHop,Business & Professional,http://www.carhop.com/,1437 E Mulberry St,Fort Collins,"Monday - Friday, 10 am - 6pm, Saturdays 10 am - 5 pm","CarHop has over 40 locations nationwide yet operations locally are done by minorities, women, veterans, and members of the LGBTQ+ community.",Like us on social media. Share your experience!,,,,,,,,,,,,,,,,,,,,56,32b117cfd4d6f67bf43e65ee52cb071ce7009fb0,POINT (-105.050497 40.580981)
Firehouse Subs,Restaurant/Bar,http://www.firehousesubs.com,2120 E Harmony Rd,Fort Collins,,,,,,,,,,true,,,,true,true,,,,,,,"Delivery, DoorDash, GrubHub",142,bd30d06582b7bbbcd4939e3593c3c27aabcbbfaa,POINT (-105.036928 40.523376)
Wild&Free Fermented Tea,,,,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,473,85f32bf2dfad65e76f5ec3e2b778a9a7b68d009c,POINT (-105.082459 40.588972)
Rally5,Restaurant/Bar,http://www.rally5streeteats.com/,2310 Harmony 101,Fort Collins,Wednesday-Sunday 12 to 7pm,,How to help this business:,,true,,,,,,,,,,,,,,,,,Outdoor Dining,341,add845580a912bb0f28ec2f56703ea10a4da3932,
Fort Collins Food Co-op,Restaurant/Bar,,250 E. Mountain Ave,Fort Collins,,"Contact us at 970-484-7448. You must wear a mask to enter the store. Offering senior and immunocompromised shopping hours from 10am-11am every day! Store hours 10am-6pm Monday-Saturday, 10am-3pm Sunday",,,,,,,,,,,,,,,,,,,,,153,b0437f455bca9b82c7047a01395c65f84cf35210,POINT (-105.07508 40.587108)
The Cooking Studio,Entertainment & Recreation,,123 N College Ave STE 130,Fort Collins,,"Contact us at (720) 839-2417. On-Site classes are held in our Downtown Fort Collins, CO location. From date nights to team building to kids camps, we create an experience you won't soon forget. We are also continuing business virtually. Participate in the weekly cooking challenges, chef-led class in your home using zoom and more. Please visit our website for details and events. https://the-cooking-studio.com/",,,,,,,,,,,,,,,,,,,,,405,4c99dfcdf51e72a3501b134d7644e3b5c4a53244,POINT (-105.077065 40.587826)
Henry's Pub,Restaurant/Bar,,234 E. 4th Street,Loveland,,"Contact us at 970-613-1896. We are Level-Up certified! Our dining room is open at a 25% capacity. Beginning Monday, January 11th, we have indoor dining available! We ask that you make reservations online in order to expedite your check-in, and to assist contract tracing data collection. For your convenience, we are currently accepting reservations up to one week in advance. At our reduced capacity, we are asking guests to limit their visit at dinner time to under 1.5 hours, so that we can honor our other guest's reservation times. Masks are required for entry, exit and anytime you get up from your table. We are still offering takeout and delivery through NoCoNosh, GrubHub and DoorDash. To make a reservation, please follow the Reservations link at the top of the page, and to order online for pickup or delivery, please follow the links below and choose either pickup or delivery on the order page. Thank you and welcome back!",,,,,,,,true,true,true,,,,,,,,,,"Delivery, Order Online, Take-Out",185,8aea9e57bd7acc9167514ad063a4751cc7b0262f,POINT (-105.073637 40.395453)
Brightstar Care,Health & Wellness,,3880 N Grant Ave #180,Loveland,,"Contact us at 970-667-7778. A home health care company, is fully operational. We are open 24x7 seven days a week to meet the healthcare needs of our community. We have NO Contracts ,No Deposits, No Minimum Hours .We offer a free in home assessment and have caregivers,CNAs and nurses ready to work. This includes transportation, grocery shopping, picking up prescriptions, help with bathing, dressing, injections, filling medication boxes, etc.",,,,,,,,,,,,,,,,,,,,,42,03b2be6a1d134c633bedf26635d2b0ca44307dc8,POINT (-105.078838 40.432559)
The Lincoln Center,,,417 West Magnolia,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,418,ec72972d5a7877f90bf651d4405e03361b026dc7,POINT (-105.083261 40.582883)
Open Door,Business & Professional,,4412 Idledale Dr,Fort Collins,,"Contact us at 970-420-3187. Helping organizations in the following ways: Culture. Helping business owners work ""on their business"" using our processes and systems to define, reset, or change organizational culture. And we create methods and systems to cultivate and reinforce that desired culture. You can come out of this ""downtime"" stronger, more focused, and ready to win. Consulting. Helping organizations walk through decisions based on long-term business viability, in ways that stay true to organizational values... making decisions logically but implementing from the heart. Recruiting. Helping employers find the best new team members at a time when there are way more applicants to wade through. We conduct tailored searches to find people with needed skills who ""fit,"" at a fraction of the cost of traditional search firms. Our unique tools and Applicant Tracking System can add a level of sophistication to your employment brand and experience. With clients outside of the NoCO area, doing business virtually isn't new, it's just business as usual. We're open! We're Open Door.",,,,,,,,,,,,,,,,,,,,,302,a5b50cd6525fddc420be3195d85c752f884a3a43,POINT (-105.123782 40.525637)
Plant to the Plate,Restaurant/Bar,http://www.planttotheplate.com,822 S. College Ave,Fort Collins,T 11-9 W-S 11-1am S 12-11,Contact us at 970-482-2109. We are open downstairs and upstairs patio. Wear your mask!,Support and telling friends.,,true,,,,true,true,true,true,true,true,true,,,,,,Gift Cards,"Delivery, DoorDash, GrubHub, NoCoNosh, Order Online, Outdoor Dining, Take-Out",321,5e38f29ba000e10f43e4336690b404e9c82424b4,POINT (-105.076999 40.575863)
Tony's Bar,Restaurant/Bar,,224 S. College Ave.,Fort Collins,,Contact us at 970-484-6969. We are open downstairs and upstairs patio. Wear your mask!,,,,,,,,,,,,,,,,,,,,,437,a830f3b3ff223dd7a78f38cb682594d68153677b,POINT (-105.076929 40.584792)
The Gearage,,,119 East Mountain Ave.,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,417,d929aba38ede475281e414fb843c5362bb60ac9e,POINT (-105.07638100000001 40.586975)
Mary's Mountain Cookies,Restaurant/Bar,http://mmcookie.com/,"123 N College Ave, Suite 106",Fort Collins,10 am - 10 pm,,Cookie Hoarders are welcome!,,,,,,true,true,true,true,true,,,,,,,,Gift Cards,"Delivery, NoCoNosh, Order Online, Take-Out",257,96b72667fbada20bfbfbd147bcc648d4bb17a0b7,POINT (-105.077065 40.587826)
Stuft,Restaurant/Bar,http://stuftburgerbar.com/location/fort-collins/,210 S College,Fort Collins,Thur-Sun  11:00 am to 8:00 pm,,How to help this business:,,true,,,,,,,,,,,,,,,,,Outdoor Dining,390,c6ae06302c585b8469de47c590191e365454c3f8,POINT (-105.076927 40.585053)
Candlewood Suites,Hospitality,,314 Pavilion Lane,Fort Collins,,"Contact us at 970-223-0200. Open for lodging and private work space rental! This hotel is pet friendly and features in-room kitchens, free wifi, free parking, free onsite laundry, and business center. Private work space is more important than ever and we understand that working from home may not be an ideal situation for many individuals. Private rooms are now available for discounted daytime rental from 9:00am - 5:00pm. Please call 970-223-0200 for pricing details.",,,,,,,,,,,,,,,,,,,,,52,3709e0edd6d03ca288ca6108b3b877c8ea06e801,POINT (-105.073383 40.526267)
Animal Friends Alliance,"Family, Community & Non-Profit",https://www.savinganimalstoday.org/,2321 E Mulberry #1,Fort Collins,Variable,https://www.facebook.com/AnimalFriendsAlliance,"Donate, foster/adopt animals and encourage others to foster and adopt.",,,,,,true,,,,,,,,,,,,Gift Cards,,14,e2b31be01fa3a67a14558aeb9e2ecb62803131eb,POINT (-105.034041 40.580668)
Hearth Restaurant and Pub,Restaurant/Bar,,205 1/2 4th Street,Windsor,,Contact us at 970-460-0193. Indoor dining now open!. Online orders: https://hearth.alohaorderonline.com/ for curbside. Lunch Hours: currently closed for lunch. Sunday Brunch: 10 a.m. to 3 p.m. Dinner Hours: Monday-Thursday 3 p.m. to 8 p.m. Sunday 3 p.m. to 7 p.m.,,,,,,,,,,true,,,,,,,,,,Order Online,184,3d33e5a291cbce3eb11a6f210992f6493f3c02c3,POINT (-104.902287 40.479644)
Ding Tea,Restaurant/Bar,https://www.facebook.com/DingTea-Fort-Collins-549737365515907/,1110 W Elizabeth St,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,110,c8c5f9f0b47948ef5a72f299a8b7934ab0125dca,POINT (-105.09695600000002 40.574645)
Employers Council,Business & Professional,,"5250 Hahns Peak Dr, Suite 140",Loveland,,"Contact us at 970-223-4107. During this time, Employers Council offices are closed to the public. We are assisting our members and conducting nearly all of our  operations remotely. All of our classes have moved onlineThe nation's largest employers association. We have been providing expert assistance and thoughtful guidance in all areas of human resources and employment law to employers since 1939. If you would like help in understanding the impacts of COVID-19 on your organization, we invite you to visit our free Coronavirus Resources page. Click here to access FYIs, Webinars, Training, etc. We are offering this free of charge, to help support our neighbors.",,,,,,,,,,true,,,,,,,,,,Order Online,125,4806bab9947522cfba6e31325a41efd36a7bc5c6,POINT (-105.00386100000001 40.412662)
Red Robin,Restaurant/Bar,https://www.redrobin.com/,701 E. Harmony Road,Fort Collins,,Pickup Inside Hours:Open today 11am-8:45pm  Curbside Hours:11am-8:45pm  Delivery Hours:11am-8:30pm,,,,,,,,,,,,true,true,true,,,,,,"DoorDash, GrubHub, Postmates",345,bc6c6e32c6215e380f0c5b6b499372bb3a2307f5,POINT (-105.064779 40.523546)
Independent Audiology,Health & Wellness,,,Fort Collins,,"Contact us at (970) 817-1965 or (970) 817-2300. We have re-opened both office locations in Wellington and Fort Collins. Everyone MUST call for an appointment, wear a mask, and understand the pre-screening protocol prior to their appointment due to COVID-19.  Tele-audiology and RemoteCare fitting and programming of Oticon Opn hearing aids now also available also.  Please call (970) 817-1965 or (970) 817-2300 to schedule your appointment.  ""We hear with our ears.  We ""Listen"" with our brain.""",,,,,,,,,,,,,,,,,,,,,196,528140ce215ff631e5669dbc43e4be2c5247e264,POINT (-105.082459 40.588972)
Wagz Pet Market & Grooming,,,132 N College Ave,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,461,2bccd1c72fd267f7da991da19e7822e1b82752e9,POINT (-105.076919 40.587835000000005)
Friendly Nick's Butcher,Restaurant/Bar,,2601 S. Lemay Ave Unit 4,Fort Collins,,"Contact us at 970-657-2466. Lobby and curbside pick up: Our lobby is open to walk in and shop like ""normal"".  All customers are required to wear masks while inside. We can also offer no-contact pick up for anyone who needs it.  Let us know when you order and we will make the proper accomodations. E-MAIL ORDERING AND CURB SIDE PICK UP AVAILABLE call or email to place an order 970-657-2466. Apocalypse Hours: Tues - Sat 10 am - 5:30 pm",,,,,,,,,true,,,,,,,,,,,Take-Out,157,1ed5d130c824fbe6f832c2f861a1d53324f633d8,POINT (-105.057988 40.550709)
Home Instead Senior Care,Health & Wellness,,251 Boardwalk Dr,Fort Collins,,"Contact us at 970-494-0289. Continues to provide around the clock home care services in Northern Colorado. At Home Instead, the health and safety of our clients and the community is our top priority. As your partner, we are dedicated to working together to provide high quality care for those we serve. Personalized care in the home can minimize unnecessary hospital utilization by addressing older adults functional, social, behavior and cognitive needs, enabling more older adults to self-isolate in their homes safely. Call Home Instead at 970-494-0289 so that we can help maintain support and social connection.",,,,,,,,,,,,,,,,,,,,,189,cce234422fc9c1dabd2bd34d98dff03bd8f05c14,POINT (-105.07383000000002 40.532118)
Austin's,Restaurant/Bar,http://austinsamericangrill.com/,100 W Mountain,Fort Collins,Sun  - Thurs 11am - 8pm Fri - Sat 11am - 8pm,,How to help this business:,,true,,,,,,,,,,,,,,,,,Outdoor Dining,20,49ac401ab89dc1a705a74f844eaa6847681ff80d,POINT (-105.077504 40.587107)
